% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
84,3349,29600,-2.4,159002,,,,,
84,3362,29700,-2.6,159551,,,,,
,,,,,84,92,839,-83.7,159915
84,3378,29800,-2.5,160043,,,,,
84,3395,29900,-3.0,160616,,,,,
84,3415,30000,-2.5,161198,,,,,
83,3433,30100,-2.1,161661,,,,,
,,,,,83,93,849,-84.1,161897
83,3446,30200,-2.9,162205,,,,,
83,3459,30300,-3.0,162823,,,,,
83,3483,30400,-2.4,163303,,,,,
,,,,,83,95,859,-83.9,163758
83,3489,30500,-3.7,163955,,,,,
83,3503,30600,-2.6,164473,,,,,
83,3516,30700,-3.3,165103,,,,,
83,3530,30800,-3.0,165671,,,,,
,,,,,83,95,869,-84.5,165758
83,3548,30900,-2.8,166285,,,,,
83,3556,31000,-3.4,166899,,,,,
83,3569,31100,-2.4,167405,,,,,
,,,,,83,96,879,-84.8,167729
83,3586,31200,-3.0,167943,,,,,
83,3601,31300,-2.7,168496,,,,,
83,3606,31400,-3.4,169149,,,,,
83,3630,31500,-2.6,169686,,,,,
,,,,,83,96,889,-85.1,169729
83,3658,31600,-1.9,170168,,,,,
83,3682,31700,-2.7,170740,,,,,
83,3687,31800,-3.2,171304,,,,,
,,,,,83,97,899,-85.5,171642
82,3695,31900,-3.1,171876,,,,,
82,3714,32000,-2.5,172446,,,,,
82,3733,32100,-2.3,172946,,,,,
82,3748,32200,-2.4,173456,,,,,
,,,,,82,99,909,-84.0,173485
82,3765,32300,-2.1,173872,,,,,
82,3779,32400,-3.0,174455,,,,,
82,3796,32500,-2.8,175015,,,,,
,,,,,82,101,919,-82.7,175255
82,3802,32600,-3.5,175669,,,,,
82,3818,32700,-2.9,176265,,,,,
82,3835,32800,-2.6,176806,,,,,
,,,,,82,102,929,-82.8,177171
82,3846,32900,-2.7,177345,,,,,
82,3860,33000,-3.3,177988,,,,,
82,3879,33100,-2.4,178468,,,,,
82,3889,33200,-2.9,179036,,,,,
,,,,,82,102,939,-83.9,179171
82,3900,33300,-3.0,179645,,,,,
82,3910,33400,-2.6,180218,,,,,
82,3931,33500,-2.6,180796,,,,,
,,,,,82,104,949,-83.7,181039
82,3945,33600,-2.6,181334,,,,,
82,3971,33700,-2.0,181789,,,,,
81,3994,33800,-2.3,182329,,,,,
81,4015,33900,-2.5,182872,,,,,
,,,,,81,105,959,-82.9,182971
81,4033,34000,-2.6,183463,,,,,
81,4049,34100,-2.6,184017,,,,,
81,4057,34200,-3.3,184660,,,,,
,,,,,81,106,969,-81.7,184895
81,4069,34300,-2.7,185204,,,,,
81,4087,34400,-2.4,185704,,,,,
81,4096,34500,-3.0,186337,,,,,
81,4106,34600,-2.7,186890,,,,,
,,,,,81,106,979,-81.3,186895
81,4129,34700,-2.6,187460,,,,,
81,4149,34800,-2.8,188049,,,,,
81,4158,34900,-2.7,188621,,,,,
,,,,,81,107,989,-80.5,188876
81,4168,35000,-2.9,189229,,,,,
81,4183,35100,-2.7,189770,,,,,
81,4195,35200,-3.1,190394,,,,,
,,,,,81,108,999,-80.5,190774
81,4207,35300,-3.0,191002,,,,,
81,4223,35400,-2.8,191536,,,,,
